League,Team,Team_ID,URL
NHL,Philadelphia Flyers,15,https://www.espn.com/hockey/team/roster/_/name/philadelphia-flyers/philadelphia-flyers
NHL,Pittsburgh Penguins,16,https://www.espn.com/hockey/team/roster/_/name/pittsburgh-penguins/pittsburgh-penguins
NHL,San Jose Sharks,18,https://www.espn.com/hockey/team/roster/_/name/san-jose-sharks/san-jose-sharks
NHL,Seattle Kraken,124292,https://www.espn.com/hockey/team/roster/_/name/seattle-kraken/seattle-kraken
NHL,St. Louis Blues,19,https://www.espn.com/hockey/team/roster/_/name/st-louis-blues/st.-louis-blues
NHL,Tampa Bay Lightning,20,https://www.espn.com/hockey/team/roster/_/name/tampa-bay-lightning/tampa-bay-lightning
NHL,Toronto Maple Leafs,21,https://www.espn.com/hockey/team/roster/_/name/toronto-maple-leafs/toronto-maple-leafs
NHL,Utah Mammoth,129764,https://www.espn.com/hockey/team/roster/_/name/utah-mammoth/utah-mammoth
NHL,Vancouver Canucks,22,https://www.espn.com/hockey/team/roster/_/name/vancouver-canucks/vancouver-canucks
NHL,Vegas Golden Knights,37,https://www.espn.com/hockey/team/roster/_/name/vegas-golden-knights/vegas-golden-knights
NHL,Washington Capitals,23,https://www.espn.com/hockey/team/roster/_/name/washington-capitals/washington-capitals
NHL,Winnipeg Jets,28,https://www.espn.com/hockey/team/roster/_/name/winnipeg-jets/winnipeg-jets
NFL,Arizona Cardinals,22,https://www.espn.com/football/team/roster/_/name/arizona-cardinals/arizona-cardinals
NFL,Atlanta Falcons,1,https://www.espn.com/football/team/roster/_/name/atlanta-falcons/atlanta-falcons
NFL,Baltimore Ravens,33,https://www.espn.com/football/team/roster/_/name/baltimore-ravens/baltimore-ravens
NFL,Buffalo Bills,2,https://www.espn.com/football/team/roster/_/name/buffalo-bills/buffalo-bills
NFL,Carolina Panthers,29,https://www.espn.com/football/team/roster/_/name/carolina-panthers/carolina-panthers
NFL,Chicago Bears,3,https://www.espn.com/football/team/roster/_/name/chicago-bears/chicago-bears
NFL,Cincinnati Bengals,4,https://www.espn.com/football/team/roster/_/name/cincinnati-bengals/cincinnati-bengals
NFL,Cleveland Browns,5,https://www.espn.com/football/team/roster/_/name/cleveland-browns/cleveland-browns
NFL,Dallas Cowboys,6,https://www.espn.com/football/team/roster/_/name/dallas-cowboys/dallas-cowboys
NFL,Denver Broncos,7,https://www.espn.com/football/team/roster/_/name/denver-broncos/denver-broncos
NFL,Detroit Lions,8,https://www.espn.com/football/team/roster/_/name/detroit-lions/detroit-lions
NFL,Green Bay Packers,9,https://www.espn.com/football/team/roster/_/name/green-bay-packers/green-bay-packers
NFL,Houston Texans,34,https://www.espn.com/football/team/roster/_/name/houston-texans/houston-texans
NFL,Indianapolis Colts,11,https://www.espn.com/football/team/roster/_/name/indianapolis-colts/indianapolis-colts
NFL,Jacksonville Jaguars,30,https://www.espn.com/football/team/roster/_/name/jacksonville-jaguars/jacksonville-jaguars
NFL,Kansas City Chiefs,12,https://www.espn.com/football/team/roster/_/name/kansas-city-chiefs/kansas-city-chiefs
NFL,Las Vegas Raiders,13,https://www.espn.com/football/team/roster/_/name/las-vegas-raiders/las-vegas-raiders
NFL,Los Angeles Chargers,24,https://www.espn.com/football/team/roster/_/name/los-angeles-chargers/los-angeles-chargers
